Timestamp,Status,ResponseTime(ms),RSSI(dBm),BytesSent,BytesReceived,DownloadSpeed(Mbps),UploadSpeed(Mbps)
2024-10-28 10:43:09,Connected,9.0,-62.0,98,98,,
2024-10-28 10:43:11,Connected,7.2,-62.0,827,607,,
2024-10-28 10:43:13,Connected,6.82,-62.0,7745,9013,,
